iter	Passed	Remaining
340	7007	13542
341	7026	13517
342	7042	13490
343	7059	13461
344	7075	13433
345	7093	13408
346	7114	13388
347	7133	13364
348	7151	13339
349	7177	13329
350	7203	13319
351	7218	13288
352	7235	13261
353	7267	13261
354	7299	13262
355	7326	13253
356	7351	13240
357	7370	13218
358	7390	13196
359	7420	13191
360	7437	13165
361	7454	13137
362	7470	13108
363	7485	13078
364	7499	13047
365	7515	13018
366	7532	12992
367	7549	12965
368	7568	12941
369	7583	12912
370	7599	12883
371	7614	12854
372	7632	12829
373	7648	12802
374	7665	12775
375	7680	12746
376	7695	12717
377	7712	12691
378	7727	12662
379	7744	12635
380	7761	12610
381	7778	12584
382	7795	12558
383	7812	12532
384	7832	12512
385	7851	12488
386	7868	12462
387	7884	12436
388	7900	12409
389	7918	12386
390	7934	12358
391	7950	12331
392	7968	12307
393	7983	12278
394	7998	12250
395	8015	12225
396	8030	12197
397	8046	12170
398	8060	12141
399	8075	12113
400	8090	12085
401	8106	12058
402	8121	12031
403	8136	12003
404	8149	11972
405	8164	11944
406	8179	11917
407	8197	11893
408	8213	11868
409	8228	11840
410	8243	11813
411	8257	11785
412	8272	11757
413	8287	11730
414	8301	11702
415	8315	11673
416	8330	11646
417	8345	11619
418	8363	11596
419	8377	11569
420	8392	11542
421	8407	11515
422	8422	11489
423	8437	11462
424	8453	11437
425	8468	11410
426	8483	11384
427	8498	11358
428	8512	11330
429	8528	11305
430	8543	11279
431	8559	11253
432	8574	11227
433	8589	11202
434	8606	11178
435	8621	11153
436	8636	11126
437	8652	11101
438	8667	11076
439	8684	11053
440	8702	11031
441	8718	11006
442	8733	10980
443	8750	10957
444	8766	10933
445	8781	10908
446	8796	10882
447	8809	10854
448	8823	10828
449	8841	10805
450	8856	10780
451	8871	10755
452	8887	10731
453	8904	10709
454	8920	10685
455	8936	10660
456	8953	10638
457	8968	10613
458	8983	10588
459	8999	10564
460	9014	10539
461	9029	10515
462	9045	10490
463	9067	10474
464	9085	10452
465	9100	10429
466	9116	10404
467	9131	10380
468	9152	10362
469	9169	10339
470	9189	10320
471	9208	10301
472	9228	10281
473	9261	10277
474	9323	10305
475	9337	10278
476	9354	10256
477	9376	10239
478	9391	10215
479	9407	10191
480	9428	10173
481	9443	10148
482	9458	10124
483	9473	10099
484	9492	10079
485	9510	10058
486	9532	10041
487	9566	10036
488	9602	10034
489	9624	10017
490	9643	9997
491	9669	9983
492	9693	9968
493	9708	9943
494	9722	9918
495	9737	9894
496	9754	9872
497	9770	9849
498	9794	9833
499	9820	9820
500	9848	9809
501	9865	9787
502	9882	9764
503	9898	9741
504	9912	9716
505	9926	9690
506	9941	9666
507	9955	9642
508	9970	9617
509	9984	9593
510	9999	9568
511	10015	9545
512	10029	9521
513	10044	9497
514	10060	9474
515	10077	9452
516	10093	9429
517	10108	9406
518	10124	9383
519	10141	9361
520	10156	9337
521	10175	9318
522	10195	9299
523	10211	9276
524	10228	9254
525	10245	9232
526	10261	9210
527	10277	9187
528	10293	9164
529	10309	9142
530	10327	9121
531	10344	9100
532	10361	9078
533	10378	9057
534	10396	9035
535	10410	9011
536	10424	8987
537	10439	8964
538	10454	8941
539	10468	8917
540	10482	8893
541	10497	8870
542	10513	8848
543	10528	8825
544	10542	8801
545	10556	8778
546	10571	8755
547	10586	8731
548	10600	8708
549	10615	8685
550	10630	8662
551	10645	8639
552	10661	8617
553	10675	8594
554	10689	8570
555	10705	8549
556	10720	8525
557	10734	8503
558	10751	8481
559	10767	8460
560	10784	8439
561	10803	8419
562	10818	8397
563	10832	8374
564	10845	8350
565	10861	8328
566	10877	8306
567	10891	8283
568	10904	8259
569	10918	8236
570	10933	8214
571	10950	8193
572	10965	8171
573	10979	8148
574	10993	8125
575	11038	8125
576	11092	8132
577	11239	8205
578	11286	8206
579	11347	8217
580	11400	8222
581	11457	8228
582	11528	8246
583	11586	8253
584	11656	8269
585	11740	8294
586	11825	8319
587	11871	8317
588	11942	8333
589	12011	8347
590	12059	8345
591	12104	8342
592	12133	8327
593	12210	8346
594	12306	8376
595	12359	8377
596	12416	8381
597	12482	8391
598	12568	8414
599	12603	8402
600	12637	8389
601	12668	8375
602	12702	8362
603	12728	8345
604	12755	8327
605	12774	8305
606	12801	8288
607	12823	8267
608	12858	8255
609	12887	8239
610	12905	8216
611	12932	8199
612	12955	8179
613	12977	8158
614	12997	8136
615	13019	8116
616	13047	8099
617	13073	8080
618	13095	8060
619	13131	8048
620	13159	8031
621	13181	8010
622	13201	7988
623	13222	7967
624	13247	7948
625	13268	7927
626	13292	7907
627	13325	7893
628	13350	7874
629	13381	7859
630	13409	7841
631	13430	7820
632	13463	7806
633	13486	7785
634	13516	7769
635	13629	7800
636	13774	7849
637	13810	7835
638	13835	7816
639	13866	7800
640	13897	7783
641	13928	7766
642	13949	7744
643	13978	7727
644	13999	7705
645	14022	7683
646	14042	7661
647	14062	7639
648	14090	7620
649	14113	7599
650	14133	7577
651	14161	7558
652	14189	7540
653	14214	7520
654	14239	7500
655	14262	7478
656	14283	7457
657	14302	7433
658	14322	7410
659	14346	7390
660	14375	7372
661	14555	7431
662	14640	7441
663	14680	7428
664	14734	7422
665	14774	7409
666	14823	7400
667	14867	7389
668	14921	7382
669	14967	7372
670	14997	7353
671	15020	7331
672	15051	7313
673	15085	7296
674	15122	7281
675	15150	7261
676	15175	7240
677	15204	7220
678	15233	7201
679	15268	7185
680	15296	7165
681	15330	7148
682	15354	7126
683	15382	7106
684	15402	7082
685	15422	7059
686	15450	7039
687	15473	7017
688	15495	6994
689	15515	6970
690	15542	6950
691	15565	6928
692	15585	6904
693	15614	6884
694	15640	6863
695	15659	6839
696	15703	6826
697	15734	6807
698	15763	6788
699	15784	6764
700	15809	6743
701	15830	6720
702	15855	6698
703	15884	6678
704	15915	6659
705	15943	6639
706	15983	6623
707	16058	6622
708	16088	6603
709	16146	6594
710	16190	6580
711	16223	6562
712	16251	6541
713	16279	6521
714	16303	6498
715	16322	6474
716	16338	6448
717	16354	6423
718	16370	6397
719	16385	6372
720	16402	6347
721	16418	6321
722	16434	6296
723	16451	6271
724	16467	6246
725	16483	6221
726	16498	6195
727	16512	6169
728	16528	6144
729	16543	6118
730	16560	6094
731	16577	6069
732	16593	6044
733	16609	6019
734	16624	5993
735	16640	5968
736	16656	5943
737	16672	5918
738	16689	5894
739	16706	5869
740	16722	5844
741	16738	5820
742	16753	5795
743	16769	5770
744	16785	5745
745	16800	5720
746	16817	5695
747	16833	5671
748	16849	5646
749	16866	5622
750	16881	5597
751	16898	5573
752	16914	5548
753	16930	5523
754	16947	5499
755	16964	5475
756	16984	5451
757	17001	5427
758	17020	5404
759	17039	5380
760	17061	5358
761	17087	5336
762	17145	5325
763	17183	5307
764	17204	5284
765	17237	5265
766	17416	5290
767	17625	5324
768	17747	5331
769	17831	5326
770	17914	5320
771	17982	5310
772	18066	5305
773	18099	5284
774	18135	5265
775	18163	5243
776	18180	5217
777	18200	5193
778	18216	5167
779	18233	5142
780	18250	5117
781	18270	5093
782	18290	5069
783	18313	5045
784	18330	5020
785	18350	4996
786	18366	4970
787	18385	4946
788	18408	4922
789	18429	4898
790	18447	4874
791	18466	4849
792	18482	4824
793	18504	4801
794	18523	4776
795	18540	4751
796	18556	4726
797	18572	4701
798	18590	4676
799	18610	4652
800	18634	4629
801	18655	4605
802	18673	4581
803	18690	4556
804	18709	4532
805	18726	4507
806	18743	4482
807	18760	4457
808	18778	4433
809	18794	4408
810	18812	4384
811	18831	4360
812	18846	4334
813	18865	4310
814	18884	4286
815	18906	4263
816	18923	4238
817	18942	4214
818	18959	4190
819	18977	4165
820	18999	4142
821	19018	4118
822	19035	4093
823	19053	4069
824	19070	4045
825	19086	4020
826	19104	3996
827	19122	3972
828	19138	3947
829	19154	3923
830	19171	3898
831	19187	3874
832	19205	3850
833	19233	3828
834	19255	3805
835	19273	3781
836	19296	3757
837	19312	3733
838	19327	3708
839	19345	3684
840	19362	3660
841	19377	3636
842	19393	3611
843	19411	3587
844	19427	3563
845	19444	3539
846	19460	3515
847	19476	3491
848	19491	3466
849	19506	3442
850	19521	3417
851	19538	3394
852	19553	3369
853	19568	3345
854	19585	3321
855	19601	3297
856	19617	3273
857	19633	3249
858	19651	3225
859	19670	3202
860	19689	3178
861	19703	3154
862	19720	3130
863	19734	3106
864	19752	3082
865	19771	3059
866	19792	3036
867	19812	3012
868	19829	2989
869	19846	2965
870	19861	2941
871	19877	2917
872	19893	2894
873	19909	2870
874	19926	2846
875	19942	2822
876	19960	2799
877	19981	2776
878	20005	2753
879	20038	2732
880	20079	2712
881	20121	2692
882	20169	2672
883	20295	2663
884	20383	2648
885	20412	2626
886	20471	2608
887	20521	2588
888	20553	2566
889	20579	2543
890	20616	2522
891	20642	2499
892	20667	2476
893	20705	2455
894	20750	2434
895	20790	2413
896	20823	2391
897	20864	2369
898	20904	2348
899	20934	2326
900	21053	2313
901	21108	2293
902	21149	2271
903	21166	2247
904	21182	2223
905	21198	2199
906	21214	2175
907	21230	2151
908	21246	2126
909	21262	2102
910	21278	2078
911	21294	2054
912	21307	2030
913	21323	2006
914	21339	1982
915	21357	1958
916	21377	1934
917	21392	1910
918	21414	1887
919	21430	1863
920	21448	1839
921	21464	1815
922	21484	1792
923	21502	1768
924	21522	1745
925	21541	1721
926	21559	1697
927	21577	1674
928	21596	1650
929	21613	1626
930	21631	1603
931	21649	1579
932	21667	1556
933	21686	1532
934	21706	1509
935	21724	1485
936	21743	1461
937	21761	1438
938	21779	1414
939	21796	1391
940	21815	1367
941	21836	1344
942	21860	1321
943	21879	1297
944	21896	1274
945	21915	1250
946	21934	1227
947	21950	1204
948	21967	1180
949	21983	1157
950	21997	1133
951	22012	1109
952	22028	1086
953	22043	1062
954	22058	1039
955	22074	1016
956	22091	992
957	22109	969
958	22125	945
959	22142	922
960	22158	899
961	22176	875
962	22193	852
963	22210	829
964	22228	806
965	22251	783
966	22269	759
967	22290	736
968	22309	713
969	22327	690
970	22346	667
971	22363	644
972	22381	621
973	22400	597
974	22417	574
975	22435	551
976	22452	528
977	22469	505
978	22491	482
979	22513	459
980	22531	436
981	22551	413
982	22568	390
983	22595	367
984	22625	344
985	22666	321
986	22695	298
987	22720	275
988	22754	253
989	22803	230
990	22830	207
991	22849	184
992	22878	161
993	22909	138
994	22929	115
995	22945	92
996	22960	69
997	22975	46
998	23000	23
999	23019	0
